                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8585,                 2.4521,                  1.332,                0.76629,                0.55917,                0.60717,                0.24157,                 2.1276,                 2.1963,                 1.2275,               0.000666,               0.000666,               0.000666
                      1,                 1.8579,                 1.5855,                 1.3465,                0.84259,                0.58455,                0.66715,                0.33039,                 1.8245,                 1.4774,                 1.1385,              0.0012799,              0.0012799,              0.0012799
                      2,                 1.7844,                 1.4775,                  1.307,                0.84811,                0.62564,                0.70223,                 0.3718,                  1.654,                 1.4099,                 1.0809,               0.001841,               0.001841,               0.001841
                      3,                  1.709,                 1.3494,                 1.2599,                0.87321,                 0.6428,                0.71807,                0.39437,                 1.6536,                 1.3769,                 1.0683,              0.0017624,              0.0017624,              0.0017624
                      4,                 1.6469,                 1.2281,                 1.2233,                0.90825,                0.70015,                0.78574,                0.44417,                 1.5767,                 1.1596,                 1.0473,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.5752,                 1.1543,                 1.1943,                0.91621,                0.70672,                0.78763,                0.43686,                 1.5883,                 1.1201,                 1.0338,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.5402,                 1.1072,                 1.1701,                0.93807,                 0.7385,                 0.8209,                0.48297,                 1.4765,                 1.0381,                 1.0084,               0.001604,               0.001604,               0.001604
                      7,                  1.493,                  1.042,                 1.1421,                0.92348,                0.76254,                0.83522,                0.50033,                  1.453,                0.96379,                0.99659,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.4648,                0.99724,                 1.1353,                0.93177,                0.76698,                0.84873,                0.51163,                 1.4039,                0.91105,                0.98701,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4333,                0.97006,                 1.1199,                0.92486,                0.76917,                 0.8467,                0.51081,                 1.4279,                 0.9236,                 0.9917,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.4111,                0.93774,                 1.1069,                0.93321,                0.76771,                 0.8472,                0.51193,                 1.4362,                0.91139,                 0.9928,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.3814,                 0.9166,                 1.0901,                0.94034,                0.79291,                0.86234,                 0.5363,                  1.361,                0.85418,                0.97208,               0.001208,               0.001208,               0.001208
                     12,                 1.3553,                0.88388,                 1.0802,                0.92374,                0.80073,                0.86366,                0.53709,                  1.381,                0.84094,                0.97402,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.3357,                0.85498,                 1.0708,                 0.9415,                0.80535,                0.87342,                0.55794,                 1.3228,                0.79907,                0.95823,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.3086,                0.82117,                 1.0603,                0.92838,                0.80961,                  0.875,                0.55447,                 1.3271,                0.78006,                0.96293,              0.0009704,              0.0009704,              0.0009704
                     15,                   1.28,                0.75761,                 1.0246,                0.95644,                0.81118,                 0.8815,                0.55844,                 1.3126,                0.76211,                0.96362,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.2459,                0.71931,                 1.0107,                 0.9359,                0.82128,                0.87894,                0.56197,                 1.3068,                0.74563,                0.95528,               0.000812,               0.000812,               0.000812
                     17,                 1.2215,                0.69441,                 1.0023,                0.94888,                0.82701,                0.88599,                0.56554,                 1.3039,                  0.723,                0.95069,              0.0007328,              0.0007328,              0.0007328
                     18,                   1.21,                 0.6808,                0.99583,                0.94781,                 0.8357,                0.88809,                0.56757,                 1.3144,                0.72507,                0.95367,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.1818,                0.65425,                0.98557,                 0.9569,                0.81906,                0.88851,                0.57773,                 1.2602,                0.70582,                0.94479,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.1636,                0.64041,                0.97383,                0.95097,                0.83596,                0.89184,                0.58404,                 1.2739,                0.69179,                0.94697,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.1383,                0.61415,                0.96149,                0.95756,                0.83236,                0.89296,                0.58572,                 1.2567,                0.67807,                 0.9407,               0.000416,               0.000416,               0.000416
                     22,                 1.1121,                0.59282,                0.95218,                0.94152,                 0.8466,                0.89448,                0.59132,                  1.251,                0.66902,                0.94229,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.0967,                 0.5737,                0.94687,                0.95954,                0.84011,                0.89545,                0.58951,                  1.242,                0.66511,                0.93895,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.0708,                0.55866,                0.93341,                0.95093,                 0.8423,                0.89652,                0.59233,                 1.2415,                0.65608,                0.93782,              0.0001784,              0.0001784,              0.0001784
